"                   ","Und Storage"," ","Und Storage"," ","Und Storage"," ","Chg Work Gas"," ","Chg Work Gas"," ",""," ",""," ","Net"," "
"Year, Season & Month","Base Gas"," ","Working Gas"," ","Total"," ","Volume"," ","Percentage"," ","Injections"," ","Withdrawals"," ","Withdrawals"," "
"2015 Heating Season           ",
"  November                 ","4367","  ","3427","  ","7794","  ","-178","  ","-5.0","  ","200","  ","361","  ","161","  ",
"  December                 ","4365","  ","3141","  ","7506","  ","251","  ","8.7","  ","143","  ","429","  ","286","  ",
"  January                 ","4361","  ","2415","  ","6776","  ","490","  ","25.5","  ","70","  ","795","  ","725","  ",
"  February                 ","4360","  ","1674","  ","6034","  ","474","  ","39.5","  ","62","  ","803","  ","742","  ",
"  March                 ","4361","  ","1480","  ","5841","  ","623","  ","72.6","  ","182","  ","376","  ","193","  ",
"     Total             ","0","--","0","--","0","--","0","--","0.0","--","657","  ","2765","  ","2108","  ",
"2015 Refill Season            ",
"  April                 ","4360","  ","1802","  ","6162","  ","736","  ","69.0","  ","405","  ","84","  ","-321","  ",
"  May                 ","4363","  ","2296","  ","6659","  ","748","  ","48.3","  ","542","  ","44","  ","-497","  ",
"  June                 ","4367","  ","2656","  ","7023","  ","650","  ","32.4","  ","430","  ","68","  ","-362","  ",
"  July                 ","4372","  ","2933","  ","7305","  ","533","  ","22.2","  ","379","  ","96","  ","-283","  ",
"  August                 ","4364","  ","3250","  ","7614","  ","482","  ","17.4","  ","394","  ","85","  ","-309","  ",
"  September                 ","4365","  ","3622","  ","7987","  ","435","  ","13.7","  ","435","  ","63","  ","-372","  ",
"  October                 ","4365","  ","3951","  ","8316","  ","363","  ","10.1","  ","401","  ","70","  ","-331","  ",
"     Total             ","0","--","0","--","0","--","0","--","0.0","--","2986","  ","511","  ","-2475","  ",
"2016 Heating Season           ",
"  November                 ","4368","  ","3935","  ","8303","  ","508","  ","14.8","  ","201","  ","214","  ","12","  ",
"  December                 ","4363","  ","3675","  ","8038","  ","534","  ","17.0","  ","138","  ","403","  ","264","  ",
"  January                 ","4361","  ","2949","  ","7311","  ","534","  ","22.1","  ","66","  ","795","  ","728","  ",
"  February                 ","4361","  ","2546","  ","6907","  ","872","  ","52.1","  ","111","  ","515","  ","403","  ",
"  March                 ","4352","  ","2496","  ","6848","  ","1016","  ","68.6","  ","215","  ","274","  ","59","  ",
"     Total             ","0","--","0","--","0","--","0","--","0.0","--","732","  ","2199","  ","1467","  ",
"2016 Refill Season            ",
"  April                 ","4356","  ","2654","  ","7010","  ","852","  ","47.3","  ","294","  ","130","  ","-164","  ",
"  May                 ","4358","  ","2975","  ","7333","  ","679","  ","29.6","  ","402","  ","75","  ","-327","  ",
"  June                 ","4360","  ","3197","  ","7557","  ","541","  ","20.4","  ","318","  ","94","  ","-224","  ",
"  July                 ","4360","  ","3329","  ","7689","  ","396","  ","13.5","  ","284","  ","150","  ","-133","  ",
"  August                 ","4361","  ","3453","  ","7814","  ","203","  ","6.2","  ","286","  ","162","  ","-124","  ",
"  September                 ","4360","  ","3717","  ","8077","  ","94","  ","2.6","  ","351","  ","88","  ","-263","  ",
"  October                 ","4363","  ","4025","  ","8388","  ","74","  ","1.9","  ","387","  ","78","  ","-309","  ",
"     Total             ","0","--","0","--","0","--","0","--","0.0","--","2322","  ","778","  ","-1544","  ",
"2017 Heating Season           ",
"  November                 ","4364","  ","3987","  ","8351","  ","52","  ","1.3","  ","178","  ","213","  ","35","  ",
