"                   ","Lease and"," ","Pipeline"," ","Residential"," ","Commercial"," ","Industrial"," ","Electric Power"," ","Veh. Fuel"," ","Total"," ","Total"," ","Heating"," "
"Year and Month     ","Plant Fuel"," ","Fuel"," ","Volume"," ","Volume"," ","Volume"," ","Volume"," ","Volume"," ","Delivered"," ","Consumption"," ","Value"," "
"2011 Total","1323","  ","688","  ","4714","  ","3155","  ","6994","  ","7574","  ","30","  ","22467","  ","24477","  ","1022","  ",
"2012 Total","1396","  ","731","  ","4150","  ","2895","  ","7226","  ","9111","  ","30","  ","23411","  ","25538","  ","1024","  ",
"2013 Total","1483","  ","833","  ","4897","  ","3295","  ","7425","  ","8191","  ","30","  ","23839","  ","26155","  ","1027","  ",
"2014",
"  January                 ","121","  ","86","  ","1037","  ","572","  ","722","  ","663","  ","3","  ","2997","  ","3204","  ","1029","  ",
"  February                 ","112","  ","73","  ","853","  ","490","  ","659","  ","551","  ","3","  ","2556","  ","2741","  ","1028","  ",
"  March                 ","125","  ","68","  ","700","  ","421","  ","681","  ","561","  ","3","  ","2365","  ","2558","  ","1029","  ",
"  April                 ","124","  ","51","  ","356","  ","251","  ","628","  ","549","  ","3","  ","1787","  ","1962","  ","1029","  ",
"  May                 ","127","  ","47","  ","203","  ","177","  ","606","  ","647","  ","3","  ","1636","  ","1810","  ","1030","  ",
"  June                 ","124","  ","45","  ","126","  ","141","  ","586","  ","721","  ","3","  ","1577","  ","1745","  ","1030","  ",
"  July                 ","130","  ","49","  ","113","  ","138","  ","605","  ","843","  ","3","  ","1702","  ","1881","  ","1032","  ",
"  August                 ","131","  ","50","  ","105","  ","137","  ","609","  ","898","  ","3","  ","1752","  ","1933","  ","1033","  ",
"  September                 ","127","  ","47","  ","122","  ","149","  ","591","  ","771","  ","3","  ","1635","  ","1809","  ","1033","  ",
"  October                 ","132","  ","50","  ","212","  ","202","  ","610","  ","703","  ","3","  ","1731","  ","1913","  ","1033","  ",
"  November                 ","127","  ","62","  ","544","  ","362","  ","660","  ","600","  ","3","  ","2168","  ","2358","  ","1034","  ",
"  December                 ","133","  ","71","  ","717","  ","427","  ","690","  ","639","  ","3","  ","2476","  ","2679","  ","1035","  ",
"     Total             ","1512","  ","700","  ","5087","  ","3466","  ","7646","  ","8146","  ","35","  ","24381","  ","26593","  ","1032","  ",
"2015",
"  January                 ","132","  ","77","  ","937","  ","532","  ","720","  ","714","  ","3","  ","2906","  ","3116","  ","1036","  ",
"  February                 ","121","  ","73","  ","902","  ","517","  ","661","  ","651","  ","3","  ","2733","  ","2927","  ","1036","  ",
"  March                 ","135","  ","64","  ","633","  ","385","  ","663","  ","709","  ","3","  ","2394","  ","2592","  ","1036","  ",
"  April                 ","132","  ","49","  ","319","  ","232","  ","609","  ","668","  ","3","  ","1832","  ","2013","  ","1037","  ",
"  May                 ","135","  ","45","  ","177","  ","160","  ","604","  ","739","  ","3","  ","1684","  ","1863","  ","1037","  ",
"  June                 ","131","  ","46","  ","124","  ","135","  ","576","  ","893","  ","3","  ","1732","  ","1908","  ","1037","  ",
"  July                 ","135","  ","50","  ","108","  ","134","  ","593","  ","1054","  ","3","  ","1891","  ","2077","  ","1037","  ",
"  August                 ","135","  ","50","  ","103","  ","135","  ","601","  ","1035","  ","3","  ","1876","  ","2061","  ","1036","  ",
"  September                 ","132","  ","46","  ","108","  ","138","  ","580","  ","902","  ","3","  ","1731","  ","1909","  ","1037","  ",
"  October                 ","135","  ","48","  ","201","  ","195","  ","614","  ","798","  ","3","  ","1811","  ","1994","  ","1037","  ",
"  November                 ","130","  ","55","  ","406","  ","283","  ","639","  ","737","  ","3","  ","2069","  ","2255","  ","1038","  ",
"  December                 ","135","  ","64","  ","591","  ","352","  ","675","  ","771","  ","3","  ","2393","  ","2591","  ","1038","  ",
"     Total             ","1587","  ","666","  ","4610","  ","3199","  ","7535","  ","9671","  ","39","  ","25054","  ","27306","  ","1037","  ",
"2016",
"  January                 ","134","E ","76","E ","889","  ","507","  ","719","R","771","  ","3","E ","2889","R","3098","R","1038","  ",
"  February                 ","127","E ","65","E ","698","  ","416","  ","662","R","686","  ","3","E ","2467","R","2659","R","1038","  ",
"  March                 ","134","E ","58","E ","458","  ","299","  ","666","R","744","  ","3","E ","2171","R","2363","R","1037","  ",
"  April                 ","129","E ","51","E ","330","  ","234","  ","620","R","723","  ","3","E ","1910","R","2090","R","1037","  ",
"  May                 ","133","E ","48","E ","196","  ","172","  ","613","R","808","  ","3","E ","1792","R","1973","R","1034","  ",
"  June                 ","127","E ","49","E ","124","  ","139","  ","592","R","971","  ","3","E ","1830","R","2006","R","1034","  ",
"  July                 ","131","E ","53","RE","108","  ","136","  ","616","R","1142","  ","4","E ","2006","R","2190","R","1034","  ",
"  August                 ","132","E ","54","E ","102","  ","142","R","626","R","1155","  ","4","E ","2029","R","2215","R","1037","  ",
"  September                 ","127","E ","48","E ","111","  ","143","R","604","R","915","  ","4","E ","1777","R","1951","R","1037","  ",
"  October                 ","130","E ","47","E ","189","  ","193","  ","622","R","741","  ","4","E ","1749","R","1926","R","1036","  ",
"  November                 ","127","E ","53","E ","385","  ","284","  ","646","  ","663","  ","4","E ","1982","  ","2162","  ","1037","  ",
"2016 11-Month YTD","1431","E ","601","E ","3591","  ","2665","  ","6988","  ","9320","  ","38","E ","22600","  ","24632","  ","1036","  ",
"2015 11-Month YTD","1452","  ","603","  ","4019","  ","2847","  ","6859","  ","8900","  ","36","  ","22661","  ","24715","  ","1037","  ",
"2014 11-Month YTD","1380","  ","629","  ","4371","  ","3040","  ","6956","  ","7507","  ","32","  ","21906","  ","23914","  ","1030","  ",
